sample_id,membrane_name_raw,source_sheet,source_row_excel,backbone_family,contortion_unit_family,modification_family,model_name,fold_id,y_true,y_pred,residual,screening_x_true,pair_label,screening_target_column,screening_score_true,screening_score_pred,upper_bound_2008_log_selectivity,distance_to_upper_bound_2008_true,distance_to_upper_bound_2008_pred,upper_bound_2019_log_selectivity,distance_to_upper_bound_2019_true,distance_to_upper_bound_2019_pred,screening_rank_score,pred_rank
S032,PIM-DTFM-Btrip,Sheet1,34,,,,ridge,4,1.1522883443830565,1.3544428846674217,0.2021545402843652,4.629409599102719,CO2/N2,log10_sel_co2_n2_from_perm,5.781697943485776,5.983852483770141,0.9908204761101002,0.16146786827295634,0.36362240855732153,1.24636868719294,-0.09408034280988353,0.10807419747448166,0.36362240855732153,1
S037,PIM-HMI-Trip,Sheet1,39,,,,ridge,2,1.2371823040372425,1.3186766478368408,0.0814943437995983,4.645422269349092,CO2/N2,log10_sel_co2_n2_from_perm,5.882604573386335,5.964098917185933,0.9852759227006912,0.2519063813365513,0.3334007251361496,1.2416715119959987,-0.004489207958756181,0.07700513584084212,0.3334007251361496,2
S033,PIM-DTFM-Btrip,Sheet1,35,,,,ridge,4,1.20712549279565,1.3714280192117156,0.16430252641606558,4.4623979978989565,CO2/N2,log10_sel_co2_n2_from_perm,5.669523490694607,5.833826017110672,1.0486499779119571,0.15847551488369294,0.3227780412997585,1.2953600633160738,-0.08823457052042372,0.07606795589564186,0.3227780412997585,3
S038,PIM-HMI-Trip,Sheet1,40,,,,ridge,2,1.264728746097748,1.3234744697222027,0.05874572362445463,4.5910646070265,CO2/N2,log10_sel_co2_n2_from_perm,5.855793353124248,5.914539076748703,1.0040978279370456,0.2606309181607025,0.3193766417851571,1.2576168514863455,0.007111894611402603,0.06585761823585723,0.3193766417851571,4
S048,PIM-TMN-Trip,Sheet1,50,,,,ridge,5,1.1736306605080244,1.277795424469351,0.10416476396132657,4.722633922533812,CO2/N2,log10_sel_co2_n2_from_perm,5.8962645830418365,6.000429347003163,0.9585405857253727,0.21509007478265174,0.3192548387439783,1.219022156412332,-0.04539149590430758,0.05877326805701899,0.3192548387439783,5
S039,PIM-HMI-Trip,Sheet1,41,,,,ridge,2,1.2713897879071585,1.3518721212984623,0.08048233339130384,4.429752280002408,CO2/N2,log10_sel_co2_n2_from_perm,5.701142067909566,5.78162440130087,1.0599538968512052,0.21143589105595328,0.2919182244472571,1.3049363959345979,-0.03354660802743936,0.04693572536386448,0.2919182244472571,6
S034,PIM-DTFM-Btrip,Sheet1,36,,,,ridge,4,1.2458921300330512,1.3753940154287794,0.12950188539572816,4.359835482339888,CO2/N2,log10_sel_co2_n2_from_perm,5.60572761237294,5.7352294977686675,1.0841633143243767,0.16172881570867448,0.29123070110440263,1.3254458701682499,-0.07955374013519867,0.049948145260529486,0.29123070110440263,7
S049,PIM-TMN-Trip,Sheet1,51,,,,ridge,5,1.227978007344727,1.310467119935286,0.08248911259055891,4.52244423350632,CO2/N2,log10_sel_co2_n2_from_perm,5.750422240851047,5.832911353441606,1.0278583450839225,0.20011966226080458,0.2826087748513635,1.277746031163723,-0.04976802381899592,0.03272108877156299,0.2826087748513635,8
S050,PIM-TMN-Trip,Sheet1,52,,,,ridge,5,1.2459824293330757,1.3155189441153918,0.06953651478231615,4.413299764081252,CO2/N2,log10_sel_co2_n2_from_perm,5.659282193414327,5.728818708196644,1.0656507513945417,0.180331677938534,0.24986819272085015,1.309762595970138,-0.06378016663706232,0.005756348145253831,0.24986819272085015,9
S035,PIM-DTFM-Btrip,Sheet1,37,,,,ridge,4,1.2913729621347805,1.3764267214783088,0.08505375934352832,4.227886704613674,CO2/N2,log10_sel_co2_n2_from_perm,5.519259666748455,5.6043134260919825,1.129851949271127,0.1615210128636535,0.24657477220718182,1.3641518771281251,-0.07277891499334466,0.012274844350183667,0.24657477220718182,10
S040,PIM-HMI-Trip,Sheet1,42,,,,ridge,2,1.2887955392469694,1.3570049340622914,0.06820939481532196,4.276461804173244,CO2/N2,log10_sel_co2_n2_from_perm,5.565257343420213,5.633466738235535,1.1130323164596414,0.17576322278732803,0.24397261760265,1.349902801281962,-0.061107262034992615,0.00710213278032934,0.24397261760265,11
S051,PIM-TMN-Trip,Sheet1,53,,,,ridge,5,1.2635414993613288,1.3178760150575057,0.05433451569617698,4.373794416714731,CO2/N2,log10_sel_co2_n2_from_perm,5.63733591607606,5.691670431772237,1.0793298882943065,0.18421161106702222,0.2385461267631992,1.3213511402254974,-0.05780964086416862,-0.003475125167991644,0.2385461267631992,12
S041,PIM-HMI-Trip,Sheet1,43,,,,ridge,2,1.2830417875605842,1.3593997925105674,0.07635800494998324,4.24064907462068,CO2/N2,log10_sel_co2_n2_from_perm,5.5236908621812635,5.600048867131247,1.1254328460831056,0.15760894147747861,0.23396694642746185,1.3604081487599802,-0.077366361199396,-0.0010083562494127563,0.23396694642746185,13
S036,PIM-DTFM-Btrip,Sheet1,38,,,,ridge,4,1.300443507415629,1.3773503082649146,0.07690680084928547,4.1702617153949575,CO2/N2,log10_sel_co2_n2_from_perm,5.470705222810587,5.547612023659872,1.149805200385641,0.15063830702998815,0.22754510787927362,1.3810556580664402,-0.08061215065081107,-0.0037053498015255926,0.22754510787927362,14
S042,PIM-HMI-Trip,Sheet1,44,,,,ridge,2,1.3095877992992466,1.3606004581163589,0.051012658817112255,4.214843848047698,CO2/N2,log10_sel_co2_n2_from_perm,5.524431647346945,5.575444306164057,1.1343681738438334,0.17521962545541325,0.2262322842725255,1.3679778837476544,-0.058390084448407764,-0.007377425631295509,0.2262322842725255,15
S006,PIM-1-M,Sheet1,8,,,,ridge,2,1.222257305132755,1.3780408925020629,0.15578358736930786,4.151676230847047,CO2/N2,log10_sel_co2_n2_from_perm,5.373933535979802,5.52971712334911,1.1562406174728674,0.06601668765988755,0.22180027502919542,1.386507545584161,-0.1642502404514059,-0.008466653082098041,0.22180027502919542,16
S052,PIM-TMN-Trip,Sheet1,54,,,,ridge,5,1.268237482267674,1.3190577358446542,0.05082025357698017,4.309630167425898,CO2/N2,log10_sel_co2_n2_from_perm,5.577867649693572,5.628687903270553,1.1015474261367002,0.16669005613097387,0.21751030970795404,1.340173155270623,-0.07193567300294901,-0.02111541942596884,0.21751030970795404,17
S044,PIM-TFM-Btrip,Sheet1,46,,,,ridge,3,1.306965775744487,1.2899606630801106,-0.01700511266437643,4.344392273685111,CO2/N2,log10_sel_co2_n2_from_perm,5.651358049429598,5.634352936765222,1.0895106857422359,0.21745509000225116,0.20044997733787473,1.3299759988437492,-0.02301022309926215,-0.04001533576363858,0.20044997733787473,18
S045,PIM-TFM-Btrip,Sheet1,47,,,,ridge,3,1.3228097699872232,1.3041864170166455,-0.01862335297057771,4.264817823009537,CO2/N2,log10_sel_co2_n2_from_perm,5.5876275929967605,5.5690042400261826,1.117064165893058,0.2057456040941652,0.1871222511235875,1.3533184601742199,-0.030508690186996645,-0.04913204315757436,0.1871222511235875,19
S046,PIM-TFM-Btrip,Sheet1,48,,,,ridge,3,1.3322724378805977,1.311308273280275,-0.020964164600322688,4.230448921378274,CO2/N2,log10_sel_co2_n2_from_perm,5.562721359258871,5.541757194658549,1.128964755100559,0.20330768278003863,0.18234351817971595,1.3634002735010788,-0.03112783562048116,-0.05209200022080385,0.18234351817971595,20
S047,PIM-TFM-Btrip,Sheet1,49,,,,ridge,3,1.3345874007848224,1.3172055890377894,-0.017381811747033016,4.193124598354461,CO2/N2,log10_sel_co2_n2_from_perm,5.527711999139283,5.510330187392251,1.141888689665591,0.19269871111923131,0.1753168993721983,1.3743490335549988,-0.039761632770176414,-0.05714344451720943,0.1753168993721983,21
S043,PIM-TFM-Btrip,Sheet1,45,,,,ridge,3,1.2651788111409092,1.1953648163447455,-0.06981399479616379,4.5276299008713385,CO2/N2,log10_sel_co2_n2_from_perm,5.792808712012247,5.722994717216084,1.0260627538910492,0.23911605724986007,0.16930206245369628,1.27622486150546,-0.011046050364550863,-0.08086004516071466,0.16930206245369628,22
S020,PIM-Btrip,Sheet1,22,,,,ridge,1,1.2568914985230746,1.236551862277811,-0.02033963624526347,4.332438459915605,CO2/N2,log10_sel_co2_n2_from_perm,5.58932995843868,5.568990322193416,1.0936498179338932,0.16324168058918143,0.14290204434391796,1.3334825443906857,-0.07659104586761112,-0.09693068211287459,0.14290204434391796,23
S031,PIM-DM-Btrip,Sheet1,33,,,,ridge,1,1.3338225090602889,1.2137737411012903,-0.12004876795899855,4.342422680822207,CO2/N2,log10_sel_co2_n2_from_perm,5.676245189882495,5.556196421923497,1.0901926777307762,0.24362983132951266,0.12358106337051411,1.3305537614905385,0.0032687475697503743,-0.11678002038924817,0.12358106337051411,24
S021,PIM-Btrip,Sheet1,23,,,,ridge,1,1.4029034282035877,1.272738310484059,-0.13016511771952866,4.12057393120585,CO2/N2,log10_sel_co2_n2_from_perm,5.523477359409437,5.393312241689909,1.1670101118084621,0.23589331639512556,0.10572819867559691,1.395631130107833,0.007272298095754692,-0.12289281962377396,0.10572819867559691,25
S011,Adamantane-AO-PIM-1,Sheet1,13,,,,ridge,1,1.4947145225174754,1.5208375080219654,0.026122985504489993,3.3950816511739457,CO2/N2,log10_sel_co2_n2_from_perm,4.889796173691421,4.915919159195911,1.4182193500466562,0.07649517247081916,0.10261815797530915,1.6084478740303625,-0.1137333515128871,-0.08761036600839711,0.10261815797530915,26
S055,PIM-EA-TB,Sheet1,57,,,,ridge,3,1.1228370654668194,1.340466683392288,0.21762961792546864,3.886265059029757,CO2/N2,log10_sel_co2_n2_from_perm,5.009102124496576,5.226731742422045,1.2481419927558628,-0.1253049272890434,0.09232469063642523,1.4643635654777634,-0.341526500010944,-0.12389688208547533,0.09232469063642523,27
S023,PIM-Btrip,Sheet1,25,,,,ridge,1,1.426239405065027,1.2776530621616708,-0.14858634290335626,4.02938377768521,CO2/N2,log10_sel_co2_n2_from_perm,5.455623182750237,5.30703683984688,1.1985856497311214,0.22765375533390575,0.07906741243054949,1.4223809551358881,0.003858449929138974,-0.1447278929742173,0.07906741243054949,28
S056,PIM-BTrip-TB,Sheet1,58,,,,ridge,5,1.1541274188610084,1.2453987907637287,0.09127137190272028,4.120738405542943,CO2/N2,log10_sel_co2_n2_from_perm,5.2748658244039515,5.3661371963066715,1.1669531608607153,-0.012825741999706874,0.0784456299030134,1.3955828830156967,-0.24145546415468822,-0.15018409225196794,0.0784456299030134,29
S024,PIM-Btrip,Sheet1,26,,,,ridge,1,1.4570163369419442,1.2803645166668134,-0.17665182027513082,3.9041743682841634,CO2/N2,log10_sel_co2_n2_from_perm,5.361190705226107,5.184538884950976,1.2419407083879934,0.2150756285539508,0.03842380827881997,1.459110028002138,-0.0020936910601938585,-0.17874551133532468,0.03842380827881997,30
S062,PIM-HPB-2,Sheet1,64,,,,ridge,5,1.3010299956639813,1.373039550891805,0.07200955522782371,3.57978359661681,CO2/N2,log10_sel_co2_n2_from_perm,4.880813592280791,4.9528231475086155,1.3542643827880465,-0.05323438712406525,0.018775168103758455,1.5542671918822653,-0.253237196218284,-0.1812276409904603,0.018775168103758455,31
S027,PIM-Btrip,Sheet1,29,,,,ridge,1,1.433588129142473,1.237232237771309,-0.19635589137116405,3.963787827345555,CO2/N2,log10_sel_co2_n2_from_perm,5.397375956488029,5.2010200651168645,1.221298928934603,0.21228920020787,0.01593330883670596,1.4416229470219704,-0.008034817879497336,-0.20439070925066138,0.01593330883670596,32
S025,PIM-Btrip,Sheet1,27,,,,ridge,1,0.8821054955098159,1.2825453451315705,0.4004398496217546,3.782472624166286,CO2/N2,log10_sel_co2_n2_from_perm,4.664578119676102,5.065017969297856,1.284081201503602,-0.4019757059937862,-0.0015358563720315743,1.4948101582801896,-0.6127046627703737,-0.2122648131486191,-0.0015358563720315743,33
S029,PIM-Btrip,Sheet1,31,,,,ridge,1,1.4986732214364824,1.2783334376551687,-0.2203397837813137,3.777426822389312,CO2/N2,log10_sel_co2_n2_from_perm,5.276100043825794,5.05576026004448,1.2858283627837177,0.2128448586527647,-0.00749492512854899,1.4962902996052039,0.0023829218312785283,-0.21795686195003516,-0.00749492512854899,34
S028,PIM-Btrip,Sheet1,30,,,,ridge,1,1.4800069429571503,1.2728292843483486,-0.20717765860880166,3.781036938621132,CO2/N2,log10_sel_co2_n2_from_perm,5.261043881578282,5.05386622296948,1.2845783225372425,0.19542862041990783,-0.011749038188893834,1.4952313039373188,-0.01522436098016855,-0.2224020195889702,-0.011749038188893834,35
S063,PIM-HPB-2,Sheet1,65,,,,ridge,5,1.349014123262928,1.4022686389717356,0.05325451570880757,3.378397900948137,CO2/N2,log10_sel_co2_n2_from_perm,4.727412024211065,4.7806665399198724,1.423996271869997,-0.07498214860706898,-0.021727632898261406,1.6133419046040818,-0.26432778134115376,-0.21107326563234619,-0.021727632898261406,36
S058,PIM-Trip-TB,Sheet1,60,,,,ridge,4,1.1885238556422728,1.1869278129702259,-0.0015960426720469378,3.9871745010875417,CO2/N2,log10_sel_co2_n2_from_perm,5.175698356729814,5.174102314057768,1.2132010502150785,-0.024677194572805705,-0.026273237244852643,1.4347626731170169,-0.24623881747474408,-0.24783486014679101,-0.026273237244852643,37
S053,PIM-EA-TB,Sheet1,55,,,,ridge,3,1.1335389083702174,1.2324122176034225,0.09887330923320503,3.8536982117761744,CO2/N2,log10_sel_co2_n2_from_perm,4.987237120146392,5.0861104293795965,1.2594186019156905,-0.12587969354547313,-0.027006384312268095,1.4739167620907236,-0.3403778537205062,-0.2415045444873012,-0.027006384312268095,38
S030,PIM-Btrip,Sheet1,32,,,,ridge,1,1.524286508204728,1.281165586863997,-0.24312092134073104,3.711807229041191,CO2/N2,log10_sel_co2_n2_from_perm,5.23609373724592,4.992972815905189,1.3085498286244797,0.21573667958024845,-0.027384241760482597,1.5155392269587153,0.008747281246012761,-0.23437364009471828,-0.027384241760482597,39
S010,Vinylated PIM-1,Sheet1,12,,,,ridge,5,1.3966016578997753,1.346441859112721,-0.050159798787054344,3.510545010206612,CO2/N2,log10_sel_co2_n2_from_perm,4.907146668106387,4.856986869319333,1.3782389625699711,0.01836269532980417,-0.031797103457250175,1.574577718843309,-0.1779760609435337,-0.22813585973058803,-0.031797103457250175,40
S007,PIM-1-MBr,Sheet1,9,,,,ridge,4,1.4444521379662942,1.3449999522923417,-0.09945218567395253,3.505149978319906,CO2/N2,log10_sel_co2_n2_from_perm,4.9496021162862,4.850149930612248,1.380107048403318,0.06434508956297624,-0.03510709611097629,1.5761603037323397,-0.1317081657660455,-0.23116035143999802,-0.03510709611097629,41
S004,Thio−PIM-1,Sheet1,6,,,,ridge,2,1.4810162986031865,1.4970092536246542,0.015992955021467692,3.049218022670181,CO2/N2,log10_sel_co2_n2_from_perm,4.530234321273367,4.546227276294835,1.5379782241823088,-0.056961925579122274,-0.04096897055765458,1.709903910552441,-0.22888761194925444,-0.21289465692778675,-0.04096897055765458,42
S005,AO−PIM-1,Sheet1,7,,,,ridge,5,1.5433153674168114,1.4871627709528952,-0.05615259646391624,3.061829307294699,CO2/N2,log10_sel_co2_n2_from_perm,4.605144674711511,4.548992078247594,1.5336114358774204,0.009703931539390975,-0.04644866492452526,1.706204501745014,-0.16288913432820262,-0.21904173079211886,-0.04644866492452526,43
S070,PIM-PI-12,Sheet1,72,,,,ridge,1,1.29866969375701,1.2060462154107237,-0.09262347834628626,3.865696059916071,CO2/N2,log10_sel_co2_n2_from_perm,5.164365753673081,5.071742275326795,1.2552642223658648,0.043405471391145145,-0.049218006955141114,1.4703972994506838,-0.17172760569367385,-0.2643510840399601,-0.049218006955141114,44
S026,PIM-Btrip,Sheet1,28,,,,ridge,1,1.5346855359986804,1.2844425874804195,-0.2502429485182609,3.638489256954637,CO2/N2,log10_sel_co2_n2_from_perm,5.173174792953318,4.922931844435056,1.3339369380727326,0.2007485979259478,-0.04949435059231311,1.5370464056288693,-0.0023608696301888887,-0.2526038181484498,-0.04949435059231311,45
S057,PIM-BTrip-TB,Sheet1,59,,,,ridge,5,1.283280284213087,1.275543402014991,-0.0077368821980960956,3.617734035364018,CO2/N2,log10_sel_co2_n2_from_perm,4.901014319577105,4.893277437379009,1.3411236491498166,-0.05784336493672959,-0.06558024713482569,1.5431347663184025,-0.2598544821053155,-0.26759136430341157,-0.06558024713482569,46
S068,PIM-CN-HPB,Sheet1,70,,,,ridge,2,1.2884927895087397,1.3539691728804342,0.06547638337169448,3.378397900948137,CO2/N2,log10_sel_co2_n2_from_perm,4.666890690456877,4.732367073828572,1.423996271869997,-0.1355034823612573,-0.07002709898956283,1.6133419046040818,-0.3248491150953421,-0.2593727317236476,-0.07002709898956283,47
S022,PIM-Btrip,Sheet1,24,,,,ridge,1,1.5271233275356113,1.2853764376844856,-0.2417468898511257,3.576341350205793,CO2/N2,log10_sel_co2_n2_from_perm,5.103464677741404,4.861717787890279,1.3554562963652685,0.17166703117034277,-0.07007985868078292,1.555276944422898,-0.02815361688728668,-0.26990050673841237,-0.07007985868078292,48
S054,PIM-EA-TB,Sheet1,56,,,,ridge,3,1.1112261725451238,1.2403692870611116,0.1291431145159878,3.679427896612119,CO2/N2,log10_sel_co2_n2_from_perm,4.7906540691572435,4.91979718367323,1.319761508828452,-0.2085353362833282,-0.0793922217673404,1.525037417756331,-0.41381124521120727,-0.28466813069521946,-0.0793922217673404,49
S064,PIM-CH3-HPB,Sheet1,66,,,,ridge,2,1.3319414606449973,1.3169118990543174,-0.015029561590679918,3.418301291319745,CO2/N2,log10_sel_co2_n2_from_perm,4.750242751964742,4.735213190374062,1.410179308444925,-0.0782378477999277,-0.09326740939060763,1.6016365979535663,-0.269695137308569,-0.2847246988992489,-0.09326740939060763,50
S009,Thiophenated vinylated PIM-1,Sheet1,11,,,,ridge,3,1.3942014391126356,1.3783623494670996,-0.015839089645536042,3.2392994791268923,CO2/N2,log10_sel_co2_n2_from_perm,4.633500918239528,4.617661828593992,1.4721605453538074,-0.07795910624117175,-0.09379819588670779,1.6541451964260958,-0.2599437573134602,-0.27578284695899624,-0.09379819588670779,51
S012,PIM-1-SO3H,Sheet1,14,,,,ridge,4,1.4181135965180471,1.4103611984852533,-0.007752398032793817,3.142389466118836,CO2/N2,log10_sel_co2_n2_from_perm,4.560503062636883,4.55275066460409,1.5057166440408074,-0.08760304752276027,-0.09535544555555409,1.6825728916469982,-0.26445929512895106,-0.27221169316174487,-0.09535544555555409,52
S008,Brominated vinylated PIM-1,Sheet1,10,,,,ridge,3,1.3222192947339193,1.3468472503019893,0.02462795556806996,3.2764618041732443,CO2/N2,log10_sel_co2_n2_from_perm,4.598681098907163,4.623309054475234,1.4592927042712758,-0.13707340953735647,-0.11244545396928651,1.6432439570461155,-0.3210246623121962,-0.2963967067441262,-0.11244545396928651,53
